solar,wind,SDES absolute dispatch
0.1,0.1,620.0
0.1,0.3,878.0
0.1,0.4,676.8
0.1,0.5,818.8
0.1,0.6,614.0
0.1,0.7,734.4
0.1,0.9,778.6
0.3,0.1,1098.9
0.3,0.3,701.4
0.3,0.4,616.4
0.3,0.5,734.0
0.3,0.6,559.5
0.3,0.7,802.1
0.3,0.9,756.0
0.4,0.1,721.0
0.4,0.3,725.7
0.4,0.4,739.1
0.4,0.5,667.4
0.4,0.6,770.2
0.4,0.7,662.5
0.4,0.9,683.2
0.5,0.1,778.7
0.5,0.3,781.0
0.5,0.4,978.4
0.5,0.5,833.8
0.5,0.6,862.8
0.5,0.7,699.3
0.6,0.1,777.3
0.6,0.3,661.7
0.6,0.4,842.0
0.6,0.5,931.4
0.6,0.6,1033.5
0.6,0.7,807.6
0.7,0.1,825.0
0.7,0.3,617.4
0.7,0.4,721.8
0.7,0.5,1272.3
0.7,0.6,1279.4
0.9,0.1,1236.7
0.9,0.3,790.8
0.9,0.4,1155.5
