solar,wind,VRE curt
0.1,0.1,0.0
0.1,0.3,0.4
0.1,0.4,0.8
0.1,0.5,1.7
0.1,0.6,3.0
0.1,0.7,6.7
0.1,0.9,18.9
0.3,0.1,0.9
0.3,0.3,0.7
0.3,0.4,1.3
0.3,0.5,5.1
0.3,0.6,11.8
0.3,0.7,17.0
0.3,0.9,28.6
0.4,0.1,13.6
0.4,0.3,10.9
0.4,0.4,12.0
0.4,0.5,14.5
0.4,0.6,19.1
0.4,0.7,24.3
0.4,0.9,34.6
0.5,0.1,23.2
0.5,0.3,18.6
0.5,0.4,19.3
0.5,0.5,21.3
0.5,0.6,25.4
0.5,0.7,30.1
0.6,0.1,31.3
0.6,0.3,24.9
0.6,0.4,25.1
0.6,0.5,26.7
0.6,0.6,30.1
0.6,0.7,34.2
0.7,0.1,38.0
0.7,0.3,30.0
0.7,0.4,29.8
0.7,0.5,30.8
0.7,0.6,33.7
0.9,0.1,47.5
0.9,0.3,37.2
0.9,0.4,36.2
