solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,39.8
0.1,0.4,49.6
0.1,0.5,59.0
0.1,0.6,67.9
0.1,0.7,74.6
0.1,0.9,80.6
0.3,0.1,39.6
0.3,0.3,59.6
0.3,0.4,69.1
0.3,0.5,75.9
0.3,0.6,79.4
0.3,0.7,82.9
0.3,0.9,84.8
0.4,0.1,43.0
0.4,0.3,62.2
0.4,0.4,70.2
0.4,0.5,76.8
0.4,0.6,80.9
0.4,0.7,83.3
0.4,0.9,84.9
0.5,0.1,45.3
0.5,0.3,64.1
0.5,0.4,71.8
0.5,0.5,77.9
0.5,0.6,81.2
0.5,0.7,83.2
0.6,0.1,46.5
0.6,0.3,65.2
0.6,0.4,72.6
0.6,0.5,78.1
0.6,0.6,81.2
0.6,0.7,83.2
0.7,0.1,46.8
0.7,0.3,65.3
0.7,0.4,72.6
0.7,0.5,78.1
0.7,0.6,81.1
0.9,0.1,46.4
0.9,0.3,64.9
0.9,0.4,72.0
