solar,wind,solar absolute curt
0.1,0.1,535.7
0.1,0.3,361.3
0.1,0.4,1236.3
0.1,0.5,1254.3
0.1,0.6,3024.2
0.1,0.7,200265.0
0.1,0.9,457950.9
0.3,0.1,13577561.9
0.3,0.3,5280756.0
0.3,0.4,7900144.3
0.3,0.5,24700743.6
0.3,0.6,112513899.3
0.3,0.7,141149293.1
0.3,0.9,186960219.5
0.4,0.1,253108815.1
0.4,0.3,240942801.6
0.4,0.4,253207126.7
0.4,0.5,284057720.5
0.4,0.6,340531420.4
0.4,0.7,392416041.3
0.4,0.9,468429446.5
0.5,0.1,533602048.0
0.5,0.3,521602214.5
0.5,0.4,535295694.3
0.5,0.5,580496323.7
0.5,0.6,661620202.6
0.5,0.7,723407482.5
0.6,0.1,860677966.1
0.6,0.3,852612129.3
0.6,0.4,868973592.1
0.6,0.5,931722456.2
0.6,0.6,1019412603.3
0.6,0.7,1080260393.0
0.7,0.1,1207493158.0
0.7,0.3,1215847125.0
0.7,0.4,1233759646.7
0.7,0.5,1295563445.8
0.7,0.6,1382560078.2
0.9,0.1,1921457143.6
0.9,0.3,1953452867.6
0.9,0.4,1977230198.2
