solar,wind,solar cap
0.1,0.1,278.9
0.1,0.3,300.3
0.1,0.4,310.9
0.1,0.5,316.9
0.1,0.6,327.2
0.1,0.7,330.0
0.1,0.9,320.8
0.3,0.1,944.6
0.3,0.3,992.9
0.3,0.4,1024.7
0.3,0.5,1028.4
0.3,0.6,994.6
0.3,0.7,981.3
0.3,0.9,936.1
0.4,0.1,1254.6
0.4,0.3,1302.8
0.4,0.4,1316.4
0.4,0.5,1323.4
0.4,0.6,1306.0
0.4,0.7,1271.9
0.4,0.9,1197.2
0.5,0.1,1537.9
0.5,0.3,1593.2
0.5,0.4,1609.3
0.5,0.5,1611.1
0.5,0.6,1580.1
0.5,0.7,1529.8
0.6,0.1,1798.1
0.6,0.3,1861.8
0.6,0.4,1875.8
0.6,0.5,1866.1
0.6,0.6,1828.7
0.6,0.7,1776.1
0.7,0.1,2033.4
0.7,0.3,2109.9
0.7,0.4,2119.0
0.7,0.5,2104.8
0.7,0.6,2063.4
0.9,0.1,2472.7
0.9,0.3,2567.0
0.9,0.4,2570.8
