solar,wind,solar capacity factor
0.1,0.1,12.0
0.1,0.3,12.1
0.1,0.4,12.1
0.1,0.5,12.0
0.1,0.6,12.1
0.1,0.7,11.9
0.1,0.9,11.4
0.3,0.1,12.0
0.3,0.3,12.3
0.3,0.4,12.3
0.3,0.5,11.9
0.3,0.6,11.3
0.3,0.7,11.0
0.3,0.9,10.3
0.4,0.1,11.3
0.4,0.3,11.4
0.4,0.4,11.1
0.4,0.5,10.9
0.4,0.6,10.7
0.4,0.7,10.6
0.4,0.9,10.1
0.5,0.1,10.6
0.5,0.3,10.9
0.5,0.4,10.6
0.5,0.5,10.5
0.5,0.6,10.4
0.5,0.7,10.2
0.6,0.1,10.7
0.6,0.3,10.4
0.6,0.4,10.4
0.6,0.5,10.3
0.6,0.6,10.2
0.6,0.7,10.2
0.7,0.1,10.4
0.7,0.3,10.3
0.7,0.4,10.3
0.7,0.5,10.2
0.7,0.6,10.2
0.9,0.1,10.2
0.9,0.3,10.3
0.9,0.4,10.2
