solar,wind,solar curt
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.1
0.1,0.9,0.1
0.3,0.1,1.2
0.3,0.3,0.5
0.3,0.4,0.7
0.3,0.5,2.1
0.3,0.6,9.8
0.3,0.7,12.3
0.3,0.9,16.9
0.4,0.1,17.1
0.4,0.3,15.8
0.4,0.4,16.5
0.4,0.5,18.5
0.4,0.6,22.1
0.4,0.7,25.8
0.4,0.9,31.9
0.5,0.1,28.7
0.5,0.3,27.5
0.5,0.4,28.0
0.5,0.5,30.2
0.5,0.6,34.5
0.5,0.7,38.3
0.6,0.1,38.7
0.6,0.3,37.6
0.6,0.4,38.1
0.6,0.5,40.7
0.6,0.6,44.6
0.6,0.7,47.9
0.7,0.1,47.0
0.7,0.3,46.1
0.7,0.4,46.6
0.7,0.5,48.9
0.7,0.6,52.3
0.9,0.1,59.2
0.9,0.3,58.5
0.9,0.4,59.0
