solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,29.6
0.3,0.3,29.9
0.3,0.4,29.8
0.3,0.5,29.4
0.3,0.6,27.1
0.3,0.7,26.3
0.3,0.9,24.9
0.4,0.1,33.2
0.4,0.3,33.7
0.4,0.4,33.4
0.4,0.5,32.6
0.4,0.6,31.2
0.4,0.7,29.7
0.4,0.9,27.2
0.5,0.1,35.6
0.5,0.3,36.2
0.5,0.4,36.0
0.5,0.5,34.9
0.5,0.6,32.8
0.5,0.7,30.9
0.6,0.1,36.8
0.6,0.3,37.5
0.6,0.4,37.2
0.6,0.5,35.6
0.6,0.6,33.2
0.6,0.7,31.3
0.7,0.1,37.1
0.7,0.3,37.7
0.7,0.4,37.4
0.7,0.5,35.8
0.7,0.6,33.4
0.9,0.1,36.7
0.9,0.3,37.4
0.9,0.4,36.9
