solar,wind,total demand
0.1,0.1,3398.47
0.1,0.3,3527.204
0.1,0.4,3603.106
0.1,0.5,3668.059
0.1,0.6,3770.632
0.1,0.7,3828.837
0.1,0.9,3749.522
0.3,0.1,3694.456
0.3,0.3,3833.431
0.3,0.4,3931.286
0.3,0.5,3938.609
0.3,0.6,3831.035
0.3,0.7,3820.02
0.3,0.9,3696.357
0.4,0.1,3701.623
0.4,0.3,3803.482
0.4,0.4,3836.368
0.4,0.5,3846.532
0.4,0.6,3850.598
0.4,0.7,3808.092
0.4,0.9,3672.582
0.5,0.1,3712.787
0.5,0.3,3792.814
0.5,0.4,3819.77
0.5,0.5,3841.469
0.5,0.6,3837.406
0.5,0.7,3780.809
0.6,0.1,3702.076
0.6,0.3,3783.907
0.6,0.4,3804.409
0.6,0.5,3818.42
0.6,0.6,3806.825
0.6,0.7,3757.813
0.7,0.1,3669.866
0.7,0.3,3767.831
0.7,0.4,3779.84
0.7,0.5,3782.986
0.7,0.6,3773.46
0.9,0.1,3606.704
0.9,0.3,3712.39
0.9,0.4,3720.739
