solar,wind,wind cap
0.1,0.1,105.7
0.1,0.3,356.2
0.1,0.4,488.8
0.1,0.5,633.0
0.1,0.6,821.6
0.1,0.7,1009.5
0.1,0.9,1305.7
0.3,0.1,116.0
0.3,0.3,395.3
0.3,0.4,559.3
0.3,0.5,721.6
0.3,0.6,861.1
0.3,0.7,1034.1
0.3,0.9,1262.4
0.4,0.1,116.7
0.4,0.3,391.4
0.4,0.4,549.7
0.4,0.5,707.8
0.4,0.6,869.4
0.4,0.7,1022.8
0.4,0.9,1241.2
0.5,0.1,117.2
0.5,0.3,388.6
0.5,0.4,546.2
0.5,0.5,707.3
0.5,0.6,866.1
0.5,0.7,1011.1
0.6,0.1,116.8
0.6,0.3,382.3
0.6,0.4,542.4
0.6,0.5,702.3
0.6,0.6,858.5
0.6,0.7,1004.7
0.7,0.1,115.8
0.7,0.3,378.9
0.7,0.4,536.6
0.7,0.5,693.7
0.7,0.6,848.4
0.9,0.1,113.9
0.9,0.3,373.1
0.9,0.4,524.7
