solar,wind,wind capacity factor
0.1,0.1,25.0
0.1,0.3,25.9
0.1,0.4,26.0
0.1,0.5,25.6
0.1,0.6,25.3
0.1,0.7,24.4
0.1,0.9,22.0
0.3,0.1,24.9
0.3,0.3,25.7
0.3,0.4,25.1
0.3,0.5,24.3
0.3,0.6,23.5
0.3,0.7,21.7
0.3,0.9,19.3
0.4,0.1,24.7
0.4,0.3,24.8
0.4,0.4,24.5
0.4,0.5,23.2
0.4,0.6,22.3
0.4,0.7,21.1
0.4,0.9,19.2
0.5,0.1,24.5
0.5,0.3,24.4
0.5,0.4,23.5
0.5,0.5,22.9
0.5,0.6,21.4
0.5,0.7,20.7
0.6,0.1,24.4
0.6,0.3,24.2
0.6,0.4,23.6
0.6,0.5,22.8
0.6,0.6,21.8
0.6,0.7,20.4
0.7,0.1,24.3
0.7,0.3,24.2
0.7,0.4,23.5
0.7,0.5,22.8
0.7,0.6,21.7
0.9,0.1,23.9
0.9,0.3,24.1
0.9,0.4,23.3
