solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,29.8
0.1,0.4,39.6
0.1,0.5,49.0
0.1,0.6,57.9
0.1,0.7,64.6
0.1,0.9,70.6
0.3,0.1,10.0
0.3,0.3,29.7
0.3,0.4,39.3
0.3,0.5,46.5
0.3,0.6,52.3
0.3,0.7,56.6
0.3,0.9,59.9
0.4,0.1,9.8
0.4,0.3,28.5
0.4,0.4,36.8
0.4,0.5,44.2
0.4,0.6,49.7
0.4,0.7,53.6
0.4,0.9,57.7
0.5,0.1,9.7
0.5,0.3,27.9
0.5,0.4,35.8
0.5,0.5,43.0
0.5,0.6,48.4
0.5,0.7,52.3
0.6,0.1,9.7
0.6,0.3,27.7
0.6,0.4,35.4
0.6,0.5,42.5
0.6,0.6,48.0
0.6,0.7,51.9
0.7,0.1,9.7
0.7,0.3,27.6
0.7,0.4,35.2
0.7,0.5,42.3
0.7,0.6,47.7
0.9,0.1,9.7
0.9,0.3,27.5
0.9,0.4,35.1
