solar,wind,DK wind cap
0.1,0.1,16.4
0.1,0.3,73.4
0.1,0.4,73.4
0.1,0.5,73.4
0.1,0.6,73.4
0.1,0.7,73.4
0.1,0.9,73.4
0.3,0.1,15.7
0.3,0.3,73.4
0.3,0.4,73.4
0.3,0.5,73.4
0.3,0.6,73.4
0.3,0.7,73.4
0.3,0.9,73.4
0.4,0.1,16.9
0.4,0.3,73.4
0.4,0.4,73.4
0.4,0.5,73.4
0.4,0.6,73.4
0.4,0.7,73.4
0.4,0.9,73.4
0.5,0.1,17.8
0.5,0.3,73.4
0.5,0.4,73.4
0.5,0.5,73.4
0.5,0.6,73.4
0.5,0.7,73.4
0.6,0.1,18.2
0.6,0.3,73.4
0.6,0.4,73.4
0.6,0.5,73.4
0.6,0.6,73.4
0.6,0.7,73.4
0.7,0.1,18.7
0.7,0.3,73.4
0.7,0.4,73.4
0.7,0.5,73.4
0.7,0.6,73.4
0.9,0.1,19.1
0.9,0.3,73.4
0.9,0.4,73.4
