solar,wind,SDES absolute dispatch
0.1,0.1,1789.7
0.1,0.3,2334.2
0.1,0.4,2423.3
0.1,0.5,2714.4
0.1,0.6,2373.2
0.1,0.7,2989.2
0.1,0.9,2821.3
0.3,0.1,2019.4
0.3,0.3,2101.3
0.3,0.4,2097.9
0.3,0.5,2483.1
0.3,0.6,2593.3
0.3,0.7,576.7
0.3,0.9,2762.9
0.4,0.1,2669.8
0.4,0.3,2618.1
0.4,0.4,2165.9
0.4,0.5,3045.4
0.4,0.6,2471.3
0.4,0.7,2863.5
0.4,0.9,3687.2
0.5,0.1,2810.4
0.5,0.3,2758.4
0.5,0.4,396.4
0.5,0.5,2164.0
0.5,0.6,2674.1
0.5,0.7,2740.9
0.6,0.1,2913.7
0.6,0.3,3227.5
0.6,0.4,2968.7
0.6,0.5,2045.5
0.6,0.6,2658.3
0.6,0.7,2740.7
0.7,0.1,2338.6
0.7,0.3,2533.5
0.7,0.4,3269.4
0.7,0.5,2630.9
0.7,0.6,2068.5
0.9,0.1,2776.8
0.9,0.3,2253.0
0.9,0.4,2726.6
