solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,38.4
0.1,0.4,46.8
0.1,0.5,54.0
0.1,0.6,60.4
0.1,0.7,66.4
0.1,0.9,75.0
0.3,0.1,36.3
0.3,0.3,52.4
0.3,0.4,59.1
0.3,0.5,64.5
0.3,0.6,69.1
0.3,0.7,73.8
0.3,0.9,80.7
0.4,0.1,39.7
0.4,0.3,54.7
0.4,0.4,61.0
0.4,0.5,66.0
0.4,0.6,70.3
0.4,0.7,74.7
0.4,0.9,81.3
0.5,0.1,41.3
0.5,0.3,55.7
0.5,0.4,61.8
0.5,0.5,66.7
0.5,0.6,70.8
0.5,0.7,75.1
0.6,0.1,42.3
0.6,0.3,56.4
0.6,0.4,62.2
0.6,0.5,67.1
0.6,0.6,71.0
0.6,0.7,75.3
0.7,0.1,42.8
0.7,0.3,56.9
0.7,0.4,62.4
0.7,0.5,67.3
0.7,0.6,71.2
0.9,0.1,43.7
0.9,0.3,57.6
0.9,0.4,63.1
