solar,wind,solar cap
0.1,0.1,247.3
0.1,0.3,247.6
0.1,0.4,247.1
0.1,0.5,247.7
0.1,0.6,246.5
0.1,0.7,244.8
0.1,0.9,237.8
0.3,0.1,838.3
0.3,0.3,818.0
0.3,0.4,807.2
0.3,0.5,789.8
0.3,0.6,775.6
0.3,0.7,762.6
0.3,0.9,741.4
0.4,0.1,1088.6
0.4,0.3,1051.9
0.4,0.4,1034.7
0.4,0.5,1013.0
0.4,0.6,1000.4
0.4,0.7,985.4
0.4,0.9,959.5
0.5,0.1,1292.0
0.5,0.3,1258.8
0.5,0.4,1243.0
0.5,0.5,1225.8
0.5,0.6,1214.7
0.5,0.7,1199.3
0.6,0.1,1489.4
0.6,0.3,1462.7
0.6,0.4,1454.4
0.6,0.5,1438.6
0.6,0.6,1427.5
0.6,0.7,1412.0
0.7,0.1,1702.3
0.7,0.3,1669.7
0.7,0.4,1660.8
0.7,0.5,1649.7
0.7,0.6,1639.5
0.9,0.1,2131.8
0.9,0.3,2100.2
0.9,0.4,2090.4
