solar,wind,solar curt
0.1,0.1,0.2
0.1,0.3,0.4
0.1,0.4,0.6
0.1,0.5,0.8
0.1,0.6,0.9
0.1,0.7,1.5
0.1,0.9,1.6
0.3,0.1,10.6
0.3,0.3,15.0
0.3,0.4,17.2
0.3,0.5,21.1
0.3,0.6,24.6
0.3,0.7,27.3
0.3,0.9,30.4
0.4,0.1,24.2
0.4,0.3,29.3
0.4,0.4,32.3
0.4,0.5,36.1
0.4,0.6,39.3
0.4,0.7,41.8
0.4,0.9,45.4
0.5,0.1,36.0
0.5,0.3,41.1
0.5,0.4,44.0
0.5,0.5,47.0
0.5,0.6,49.7
0.5,0.7,52.0
0.6,0.1,45.1
0.6,0.3,49.8
0.6,0.4,52.3
0.6,0.5,55.2
0.6,0.6,57.5
0.6,0.7,59.7
0.7,0.1,52.1
0.7,0.3,56.3
0.7,0.4,58.8
0.7,0.5,61.2
0.7,0.6,63.2
0.9,0.1,61.8
0.9,0.3,65.2
0.9,0.4,67.0
