solar,wind,transmission volume
0.1,0.1,177.1
0.1,0.3,284.1
0.1,0.4,314.4
0.1,0.5,332.2
0.1,0.6,360.5
0.1,0.7,377.1
0.1,0.9,430.9
0.3,0.1,176.9
0.3,0.3,272.7
0.3,0.4,309.2
0.3,0.5,344.9
0.3,0.6,385.0
0.3,0.7,391.5
0.3,0.9,431.5
0.4,0.1,181.5
0.4,0.3,283.7
0.4,0.4,320.7
0.4,0.5,356.9
0.4,0.6,388.9
0.4,0.7,396.7
0.4,0.9,434.4
0.5,0.1,211.5
0.5,0.3,303.3
0.5,0.4,338.2
0.5,0.5,366.2
0.5,0.6,394.0
0.5,0.7,400.2
0.6,0.1,237.0
0.6,0.3,318.5
0.6,0.4,344.7
0.6,0.5,370.3
0.6,0.6,395.4
0.6,0.7,401.8
0.7,0.1,243.0
0.7,0.3,328.0
0.7,0.4,353.6
0.7,0.5,373.2
0.7,0.6,396.7
0.9,0.1,250.2
0.9,0.3,332.3
0.9,0.4,363.7
