solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,28.4
0.1,0.4,36.9
0.1,0.5,44.1
0.1,0.6,50.5
0.1,0.7,56.6
0.1,0.9,65.2
0.3,0.1,9.5
0.3,0.3,26.9
0.3,0.4,34.3
0.3,0.5,40.8
0.3,0.6,46.5
0.3,0.7,52.0
0.3,0.9,59.8
0.4,0.1,9.4
0.4,0.3,26.4
0.4,0.4,33.9
0.4,0.5,40.5
0.4,0.6,46.0
0.4,0.7,51.4
0.4,0.9,59.4
0.5,0.1,9.3
0.5,0.3,26.3
0.5,0.4,33.8
0.5,0.5,40.2
0.5,0.6,45.7
0.5,0.7,51.1
0.6,0.1,9.4
0.6,0.3,26.3
0.6,0.4,33.6
0.6,0.5,40.2
0.6,0.6,45.5
0.6,0.7,51.1
0.7,0.1,9.3
0.7,0.3,26.3
0.7,0.4,33.6
0.7,0.5,40.1
0.7,0.6,45.5
0.9,0.1,9.3
0.9,0.3,26.3
0.9,0.4,33.4
