solar,wind,DK solar cap
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.1
0.1,0.7,0.0
0.1,0.9,0.0
0.3,0.1,4.0
0.3,0.3,4.0
0.3,0.4,4.0
0.3,0.5,4.0
0.3,0.6,4.0
0.3,0.7,4.0
0.3,0.9,4.0
0.4,0.1,4.0
0.4,0.3,4.0
0.4,0.4,4.0
0.4,0.5,4.0
0.4,0.6,4.0
0.4,0.7,4.0
0.4,0.9,4.0
0.5,0.1,4.4
0.5,0.3,4.0
0.5,0.4,4.0
0.5,0.5,4.0
0.5,0.6,4.0
0.5,0.7,4.0
0.6,0.1,4.5
0.6,0.3,4.0
0.6,0.4,4.0
0.6,0.5,4.0
0.6,0.6,4.0
0.6,0.7,4.0
0.7,0.1,4.9
0.7,0.3,4.0
0.7,0.4,4.0
0.7,0.5,4.0
0.7,0.6,4.0
0.9,0.1,5.2
0.9,0.3,4.0
0.9,0.4,4.0
