solar,wind,SDES absolute dispatch
0.1,0.1,23224066.6
0.1,0.3,27521939.9
0.1,0.4,27370775.2
0.1,0.5,29808277.7
0.1,0.6,30443901.1
0.1,0.7,32437274.1
0.1,0.9,46554270.0
0.3,0.1,117540379.9
0.3,0.3,147913541.1
0.3,0.4,157544305.0
0.3,0.5,168144442.3
0.3,0.6,177998367.7
0.3,0.7,180524518.4
0.3,0.9,182398596.6
0.4,0.1,199527313.6
0.4,0.3,210838474.9
0.4,0.4,224387484.7
0.4,0.5,236319495.2
0.4,0.6,241759039.7
0.4,0.7,240117170.2
0.4,0.9,216831055.3
0.5,0.1,263593762.3
0.5,0.3,287606718.5
0.5,0.4,284837615.1
0.5,0.5,290715237.7
0.5,0.6,294469159.7
0.5,0.7,278579667.3
0.6,0.1,375964495.4
0.6,0.3,380120373.7
0.6,0.4,367774011.6
0.6,0.5,353283909.2
0.6,0.6,341808019.1
0.6,0.7,318597020.9
0.7,0.1,467369274.9
0.7,0.3,455482375.2
0.7,0.4,437650951.6
0.7,0.5,415382811.9
0.7,0.6,391129806.3
0.9,0.1,603199192.1
0.9,0.3,573915228.1
0.9,0.4,548889405.1
