solar,wind,VRE curt
0.1,0.1,0.2
0.1,0.3,3.8
0.1,0.4,5.8
0.1,0.5,9.2
0.1,0.6,12.8
0.1,0.7,16.1
0.1,0.9,23.2
0.3,0.1,4.7
0.3,0.3,7.5
0.3,0.4,10.3
0.3,0.5,14.0
0.3,0.6,18.1
0.3,0.7,20.9
0.3,0.9,27.6
0.4,0.1,11.3
0.4,0.3,13.6
0.4,0.4,15.9
0.4,0.5,19.4
0.4,0.6,23.1
0.4,0.7,26.1
0.4,0.9,33.0
0.5,0.1,18.6
0.5,0.3,19.0
0.5,0.4,21.4
0.5,0.5,24.6
0.5,0.6,27.9
0.5,0.7,30.7
0.6,0.1,23.2
0.6,0.3,23.2
0.6,0.4,25.5
0.6,0.5,28.7
0.6,0.6,32.0
0.6,0.7,34.6
0.7,0.1,27.5
0.7,0.3,27.1
0.7,0.4,29.3
0.7,0.5,32.3
0.7,0.6,35.4
0.9,0.1,35.1
0.9,0.3,33.6
0.9,0.4,35.6
