solar,wind,backup capacity factor high
0.1,0.1,100.0
0.1,0.3,82.79
0.1,0.4,78.0
0.1,0.5,74.04
0.1,0.6,70.6
0.1,0.7,67.01
0.1,0.9,60.58
0.3,0.1,78.18
0.3,0.3,72.56
0.3,0.4,68.38
0.3,0.5,65.11
0.3,0.6,62.03
0.3,0.7,58.96
0.3,0.9,52.77
0.4,0.1,75.13
0.4,0.3,69.01
0.4,0.4,65.42
0.4,0.5,62.6
0.4,0.6,59.68
0.4,0.7,56.9
0.4,0.9,51.42
0.5,0.1,73.14
0.5,0.3,67.06
0.5,0.4,63.45
0.5,0.5,60.99
0.5,0.6,58.02
0.5,0.7,55.38
0.6,0.1,72.57
0.6,0.3,65.93
0.6,0.4,62.3
0.6,0.5,59.74
0.6,0.6,57.04
0.6,0.7,54.28
0.7,0.1,72.02
0.7,0.3,65.04
0.7,0.4,61.38
0.7,0.5,58.85
0.7,0.6,56.39
0.9,0.1,70.6
0.9,0.3,63.21
0.9,0.4,59.05
