solar,wind,solar cap
0.1,0.1,244.5
0.1,0.3,246.0
0.1,0.4,246.2
0.1,0.5,247.3
0.1,0.6,245.6
0.1,0.7,243.5
0.1,0.9,233.7
0.3,0.1,821.4
0.3,0.3,790.9
0.3,0.4,782.9
0.3,0.5,776.6
0.3,0.6,768.8
0.3,0.7,763.7
0.3,0.9,756.0
0.4,0.1,1051.0
0.4,0.3,1030.1
0.4,0.4,1019.6
0.4,0.5,1010.0
0.4,0.6,1002.0
0.4,0.7,992.8
0.4,0.9,983.4
0.5,0.1,1278.4
0.5,0.3,1247.8
0.5,0.4,1240.7
0.5,0.5,1234.6
0.5,0.6,1227.5
0.5,0.7,1217.3
0.6,0.1,1489.6
0.6,0.3,1457.8
0.6,0.4,1452.0
0.6,0.5,1449.0
0.6,0.6,1444.2
0.6,0.7,1433.9
0.7,0.1,1694.0
0.7,0.3,1666.8
0.7,0.4,1659.6
0.7,0.5,1655.7
0.7,0.6,1647.8
0.9,0.1,2121.2
0.9,0.3,2099.3
0.9,0.4,2090.1
