solar,wind,system cost
0.1,0.1,199.0
0.1,0.3,197.7
0.1,0.4,199.2
0.1,0.5,202.7
0.1,0.6,206.3
0.1,0.7,211.8
0.1,0.9,224.8
0.3,0.1,200.9
0.3,0.3,202.0
0.3,0.4,205.2
0.3,0.5,209.1
0.3,0.6,213.6
0.3,0.7,219.7
0.3,0.9,235.3
0.4,0.1,206.3
0.4,0.3,208.8
0.4,0.4,212.1
0.4,0.5,216.1
0.4,0.6,221.4
0.4,0.7,228.4
0.4,0.9,244.2
0.5,0.1,214.0
0.5,0.3,216.5
0.5,0.4,220.0
0.5,0.5,224.6
0.5,0.6,230.2
0.5,0.7,236.9
0.6,0.1,222.4
0.6,0.3,225.3
0.6,0.4,228.9
0.6,0.5,233.8
0.6,0.6,239.5
0.6,0.7,247.0
0.7,0.1,231.1
0.7,0.3,234.2
0.7,0.4,238.1
0.7,0.5,243.1
0.7,0.6,249.5
0.9,0.1,249.2
0.9,0.3,253.3
0.9,0.4,257.0
