solar,wind,system efficiency
0.1,0.1,99.2
0.1,0.3,99.1
0.1,0.4,99.1
0.1,0.5,99.1
0.1,0.6,99.1
0.1,0.7,99.1
0.1,0.9,99.0
0.3,0.1,97.9
0.3,0.3,97.9
0.3,0.4,97.9
0.3,0.5,97.9
0.3,0.6,97.8
0.3,0.7,97.7
0.3,0.9,97.7
0.4,0.1,97.9
0.4,0.3,97.9
0.4,0.4,97.8
0.4,0.5,97.7
0.4,0.6,97.7
0.4,0.7,97.6
0.4,0.9,97.9
0.5,0.1,98.1
0.5,0.3,97.9
0.5,0.4,97.9
0.5,0.5,97.9
0.5,0.6,97.7
0.5,0.7,97.8
0.6,0.1,98.0
0.6,0.3,97.9
0.6,0.4,97.8
0.6,0.5,97.9
0.6,0.6,97.8
0.6,0.7,97.8
0.7,0.1,98.0
0.7,0.3,97.9
0.7,0.4,97.9
0.7,0.5,98.0
0.7,0.6,98.0
0.9,0.1,97.8
0.9,0.3,97.9
0.9,0.4,97.9
