solar,wind,transmission peak load ratio
0.1,0.1,0.606
0.1,0.3,0.88
0.1,0.4,0.918
0.1,0.5,0.943
0.1,0.6,0.994
0.1,0.7,1.04
0.1,0.9,1.142
0.3,0.1,0.615
0.3,0.3,0.867
0.3,0.4,0.935
0.3,0.5,0.988
0.3,0.6,1.047
0.3,0.7,1.055
0.3,0.9,1.086
0.4,0.1,0.655
0.4,0.3,0.899
0.4,0.4,0.97
0.4,0.5,1.012
0.4,0.6,1.056
0.4,0.7,1.048
0.4,0.9,1.098
0.5,0.1,0.682
0.5,0.3,0.918
0.5,0.4,0.985
0.5,0.5,1.027
0.5,0.6,1.074
0.5,0.7,1.056
0.6,0.1,0.71
0.6,0.3,0.944
0.6,0.4,1.007
0.6,0.5,1.042
0.6,0.6,1.086
0.6,0.7,1.059
0.7,0.1,0.752
0.7,0.3,0.975
0.7,0.4,1.026
0.7,0.5,1.069
0.7,0.6,1.107
0.9,0.1,0.844
0.9,0.3,1.024
0.9,0.4,1.057
