solar,wind,wind absolute curt
0.1,0.1,1262633.0
0.1,0.3,49206969.8
0.1,0.4,94037105.0
0.1,0.5,179577081.5
0.1,0.6,293948318.9
0.1,0.7,421215601.2
0.1,0.9,770354363.0
0.3,0.1,9813589.6
0.3,0.3,71513065.5
0.3,0.4,141061092.5
0.3,0.5,257774548.8
0.3,0.6,410561877.1
0.3,0.7,563177551.1
0.3,0.9,997098702.2
0.4,0.1,13110644.4
0.4,0.3,98979435.8
0.4,0.4,175133583.3
0.4,0.5,293847073.0
0.4,0.6,443090696.8
0.4,0.7,614708011.6
0.4,0.9,1053650061.5
0.5,0.1,17144572.9
0.5,0.3,106989337.4
0.5,0.4,196992817.7
0.5,0.5,325023240.0
0.5,0.6,483798977.3
0.5,0.7,641215241.4
0.6,0.1,17791199.7
0.6,0.3,115010746.4
0.6,0.4,212994531.6
0.6,0.5,342966217.4
0.6,0.6,509451700.6
0.6,0.7,669297214.8
0.7,0.1,18203965.7
0.7,0.3,120472404.5
0.7,0.4,228589580.8
0.7,0.5,372112952.8
0.7,0.6,535088727.4
0.9,0.1,19224863.1
0.9,0.3,126728371.9
0.9,0.4,250369706.3
