solar,wind,SDES dispatch
0.1,0.1,0.7
0.1,0.3,0.9
0.1,0.4,0.9
0.1,0.5,0.9
0.1,0.6,0.9
0.1,0.7,1.0
0.1,0.9,1.4
0.3,0.1,3.7
0.3,0.3,4.6
0.3,0.4,4.9
0.3,0.5,5.2
0.3,0.6,5.5
0.3,0.7,5.6
0.3,0.9,5.7
0.4,0.1,6.2
0.4,0.3,6.6
0.4,0.4,7.0
0.4,0.5,7.4
0.4,0.6,7.5
0.4,0.7,7.5
0.4,0.9,6.7
0.5,0.1,8.2
0.5,0.3,8.9
0.5,0.4,8.9
0.5,0.5,9.0
0.5,0.6,9.2
0.5,0.7,8.7
0.6,0.1,11.7
0.6,0.3,11.8
0.6,0.4,11.5
0.6,0.5,11.0
0.6,0.6,10.6
0.6,0.7,9.9
0.7,0.1,14.5
0.7,0.3,14.2
0.7,0.4,13.6
0.7,0.5,12.9
0.7,0.6,12.2
0.9,0.1,18.8
0.9,0.3,17.9
0.9,0.4,17.1
