solar,wind,backup capacity factor low
0.1,0.1,5.66
0.1,0.3,10.41
0.1,0.4,10.67
0.1,0.5,11.03
0.1,0.6,11.47
0.1,0.7,12.17
0.1,0.9,13.25
0.3,0.1,13.25
0.3,0.3,12.14
0.3,0.4,12.17
0.3,0.5,12.53
0.3,0.6,12.85
0.3,0.7,13.46
0.3,0.9,13.95
0.4,0.1,14.63
0.4,0.3,12.39
0.4,0.4,12.38
0.4,0.5,12.64
0.4,0.6,12.89
0.4,0.7,13.33
0.4,0.9,13.71
0.5,0.1,14.71
0.5,0.3,12.33
0.5,0.4,12.36
0.5,0.5,12.68
0.5,0.6,12.81
0.5,0.7,13.2
0.6,0.1,14.68
0.6,0.3,12.21
0.6,0.4,12.2
0.6,0.5,12.63
0.6,0.6,12.87
0.6,0.7,13.11
0.7,0.1,14.69
0.7,0.3,12.2
0.7,0.4,12.18
0.7,0.5,12.63
0.7,0.6,12.91
0.9,0.1,14.99
0.9,0.3,12.37
0.9,0.4,12.0
