solar,wind,solar curt
0.1,0.1,0.1
0.1,0.3,0.2
0.1,0.4,0.4
0.1,0.5,0.4
0.1,0.6,0.5
0.1,0.7,0.9
0.1,0.9,0.6
0.3,0.1,5.2
0.3,0.3,7.6
0.3,0.4,9.3
0.3,0.5,11.0
0.3,0.6,12.4
0.3,0.7,12.4
0.3,0.9,12.6
0.4,0.1,13.2
0.4,0.3,16.1
0.4,0.4,18.3
0.4,0.5,20.8
0.4,0.6,23.2
0.4,0.7,24.1
0.4,0.9,26.5
0.5,0.1,21.9
0.5,0.3,24.6
0.5,0.4,26.9
0.5,0.5,29.5
0.5,0.6,31.6
0.5,0.7,33.8
0.6,0.1,27.0
0.6,0.3,30.3
0.6,0.4,32.8
0.6,0.5,36.0
0.6,0.6,38.6
0.6,0.7,41.5
0.7,0.1,31.9
0.7,0.3,35.7
0.7,0.4,38.2
0.7,0.5,40.9
0.7,0.6,43.9
0.9,0.1,40.2
0.9,0.3,44.2
0.9,0.4,46.3
