solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,9.9
0.1,0.7,9.9
0.1,0.9,9.9
0.3,0.1,28.4
0.3,0.3,27.7
0.3,0.4,27.2
0.3,0.5,26.7
0.3,0.6,26.3
0.3,0.7,26.3
0.3,0.9,26.2
0.4,0.1,34.7
0.4,0.3,33.5
0.4,0.4,32.7
0.4,0.5,31.7
0.4,0.6,30.7
0.4,0.7,30.4
0.4,0.9,29.4
0.5,0.1,39.1
0.5,0.3,37.7
0.5,0.4,36.5
0.5,0.5,35.3
0.5,0.6,34.2
0.5,0.7,33.1
0.6,0.1,43.8
0.6,0.3,41.8
0.6,0.4,40.3
0.6,0.5,38.4
0.6,0.6,36.9
0.6,0.7,35.1
0.7,0.1,47.7
0.7,0.3,45.0
0.7,0.4,43.3
0.7,0.5,41.4
0.7,0.6,39.3
0.9,0.1,53.8
0.9,0.3,50.2
0.9,0.4,48.3
