solar,wind,system cost
0.1,0.1,199.0
0.1,0.3,197.5
0.1,0.4,199.3
0.1,0.5,202.3
0.1,0.6,206.5
0.1,0.7,211.4
0.1,0.9,224.9
0.3,0.1,200.8
0.3,0.3,202.1
0.3,0.4,204.8
0.3,0.5,208.8
0.3,0.6,213.8
0.3,0.7,219.8
0.3,0.9,235.4
0.4,0.1,206.4
0.4,0.3,208.8
0.4,0.4,211.8
0.4,0.5,216.2
0.4,0.6,221.4
0.4,0.7,227.9
0.4,0.9,244.3
0.5,0.1,214.4
0.5,0.3,216.7
0.5,0.4,220.2
0.5,0.5,224.8
0.5,0.6,230.4
0.5,0.7,237.0
0.6,0.1,222.6
0.6,0.3,225.4
0.6,0.4,229.2
0.6,0.5,234.2
0.6,0.6,239.7
0.6,0.7,246.5
0.7,0.1,231.1
0.7,0.3,234.3
0.7,0.4,238.3
0.7,0.5,243.3
0.7,0.6,249.5
0.9,0.1,249.3
0.9,0.3,252.8
0.9,0.4,257.1
