solar,wind,system efficiency
0.1,0.1,99.2
0.1,0.3,99.1
0.1,0.4,99.1
0.1,0.5,99.0
0.1,0.6,99.0
0.1,0.7,98.9
0.1,0.9,98.5
0.3,0.1,96.3
0.3,0.3,95.3
0.3,0.4,95.1
0.3,0.5,94.7
0.3,0.6,94.4
0.3,0.7,94.4
0.3,0.9,94.3
0.4,0.1,93.8
0.4,0.3,93.5
0.4,0.4,93.1
0.4,0.5,92.8
0.4,0.6,92.6
0.4,0.7,92.7
0.4,0.9,93.3
0.5,0.1,92.0
0.5,0.3,91.3
0.5,0.4,91.4
0.5,0.5,91.2
0.5,0.6,91.1
0.5,0.7,91.6
0.6,0.1,88.9
0.6,0.3,88.8
0.6,0.4,89.2
0.6,0.5,89.5
0.6,0.6,89.8
0.6,0.7,90.5
0.7,0.1,86.6
0.7,0.3,86.9
0.7,0.4,87.4
0.7,0.5,87.9
0.7,0.6,88.6
0.9,0.1,83.4
0.9,0.3,84.1
0.9,0.4,84.6
