solar,wind,wind capacity factor
0.1,0.1,23.8
0.1,0.3,23.3
0.1,0.4,23.2
0.1,0.5,22.4
0.1,0.6,22.3
0.1,0.7,22.4
0.1,0.9,21.7
0.3,0.1,21.4
0.3,0.3,22.6
0.3,0.4,22.6
0.3,0.5,22.6
0.3,0.6,21.8
0.3,0.7,21.5
0.3,0.9,20.5
0.4,0.1,21.0
0.4,0.3,22.2
0.4,0.4,22.2
0.4,0.5,21.9
0.4,0.6,21.5
0.4,0.7,20.8
0.4,0.9,20.0
0.5,0.1,21.1
0.5,0.3,22.5
0.5,0.4,22.3
0.5,0.5,21.6
0.5,0.6,21.1
0.5,0.7,20.8
0.6,0.1,21.0
0.6,0.3,21.5
0.6,0.4,21.5
0.6,0.5,21.3
0.6,0.6,21.0
0.6,0.7,20.5
0.7,0.1,20.9
0.7,0.3,21.8
0.7,0.4,21.9
0.7,0.5,21.2
0.7,0.6,20.4
0.9,0.1,22.3
0.9,0.3,21.3
0.9,0.4,21.5
