solar,wind,wind curt
0.1,0.1,0.4
0.1,0.3,5.1
0.1,0.4,7.3
0.1,0.5,11.2
0.1,0.6,15.2
0.1,0.7,18.7
0.1,0.9,26.6
0.3,0.1,3.1
0.3,0.3,7.4
0.3,0.4,10.9
0.3,0.5,16.0
0.3,0.6,21.3
0.3,0.7,25.1
0.3,0.9,34.4
0.4,0.1,4.1
0.4,0.3,10.4
0.4,0.4,13.6
0.4,0.5,18.3
0.4,0.6,23.1
0.4,0.7,27.3
0.4,0.9,36.4
0.5,0.1,5.2
0.5,0.3,11.1
0.5,0.4,15.4
0.5,0.5,20.2
0.5,0.6,25.1
0.5,0.7,28.7
0.6,0.1,5.5
0.6,0.3,11.9
0.6,0.4,16.7
0.6,0.5,21.6
0.6,0.6,26.5
0.6,0.7,29.7
0.7,0.1,5.6
0.7,0.3,12.3
0.7,0.4,17.5
0.7,0.5,23.1
0.7,0.6,27.8
0.9,0.1,5.8
0.9,0.3,12.9
0.9,0.4,19.5
