solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,28.5
0.1,0.4,37.1
0.1,0.5,44.4
0.1,0.6,50.9
0.1,0.7,56.9
0.1,0.9,66.0
0.3,0.1,9.7
0.3,0.3,27.8
0.3,0.4,35.6
0.3,0.5,42.0
0.3,0.6,47.2
0.3,0.7,52.4
0.3,0.9,59.1
0.4,0.1,9.6
0.4,0.3,26.9
0.4,0.4,34.5
0.4,0.5,40.8
0.4,0.6,46.2
0.4,0.7,50.9
0.4,0.9,57.2
0.5,0.1,9.5
0.5,0.3,26.7
0.5,0.4,33.8
0.5,0.5,39.9
0.5,0.6,45.0
0.5,0.7,49.9
0.6,0.1,9.4
0.6,0.3,26.4
0.6,0.4,33.3
0.6,0.5,39.2
0.6,0.6,44.1
0.6,0.7,49.2
0.7,0.1,9.4
0.7,0.3,26.3
0.7,0.4,33.0
0.7,0.5,38.5
0.7,0.6,43.3
0.9,0.1,9.4
0.9,0.3,26.1
0.9,0.4,32.2
