solar,wind,LDES absolute dispatch
0.1,0.1,4713.9
0.1,0.3,25525974.3
0.1,0.4,46042624.8
0.1,0.5,70469955.5
0.1,0.6,85336675.6
0.1,0.7,108992910.2
0.1,0.9,154725278.4
0.3,0.1,3395716.8
0.3,0.3,30003913.6
0.3,0.4,49092579.0
0.3,0.5,70082872.3
0.3,0.6,105296282.5
0.3,0.7,137349303.0
0.3,0.9,98514552.7
0.4,0.1,10838945.8
0.4,0.3,32760938.9
0.4,0.4,58310622.3
0.4,0.5,77535509.8
0.4,0.6,105155904.3
0.4,0.7,103462660.6
0.4,0.9,35914404.9
0.5,0.1,17057126.0
0.5,0.3,37831753.8
0.5,0.4,62666349.2
0.5,0.5,93088559.8
0.5,0.6,85143059.2
0.5,0.7,47911060.8
0.6,0.1,27856512.7
0.6,0.3,44037459.1
0.6,0.4,74668895.0
0.6,0.5,74831270.5
0.6,0.6,41176684.8
0.6,0.7,17543223.0
0.7,0.1,40423943.9
0.7,0.3,54060763.6
0.7,0.4,68831954.7
0.7,0.5,34128539.1
0.7,0.6,10135544.4
0.9,0.1,57445345.0
0.9,0.3,31494261.5
0.9,0.4,1094236.2
