solar,wind,LDES discharge cap
0.1,0.1,0.0
0.1,0.3,13.8
0.1,0.4,24.5
0.1,0.5,37.6
0.1,0.6,49.2
0.1,0.7,65.1
0.1,0.9,93.9
0.3,0.1,1.8
0.3,0.3,17.0
0.3,0.4,28.8
0.3,0.5,41.5
0.3,0.6,64.1
0.3,0.7,82.4
0.3,0.9,71.2
0.4,0.1,6.2
0.4,0.3,18.8
0.4,0.4,34.0
0.4,0.5,46.3
0.4,0.6,65.1
0.4,0.7,69.9
0.4,0.9,29.5
0.5,0.1,9.7
0.5,0.3,23.3
0.5,0.4,37.7
0.5,0.5,54.2
0.5,0.6,56.6
0.5,0.7,37.5
0.6,0.1,15.9
0.6,0.3,26.1
0.6,0.4,43.3
0.6,0.5,48.5
0.6,0.6,31.7
0.6,0.7,15.3
0.7,0.1,23.5
0.7,0.3,30.1
0.7,0.4,40.5
0.7,0.5,25.7
0.7,0.6,9.0
0.9,0.1,34.1
0.9,0.3,20.2
0.9,0.4,1.0
