solar,wind,LDES energy cap
0.1,0.1,0.0
0.1,0.3,3.8
0.1,0.4,6.1
0.1,0.5,9.3
0.1,0.6,12.2
0.1,0.7,14.1
0.1,0.9,19.9
0.3,0.1,0.1
0.3,0.3,3.3
0.3,0.4,7.3
0.3,0.5,11.4
0.3,0.6,16.9
0.3,0.7,22.1
0.3,0.9,19.0
0.4,0.1,0.2
0.4,0.3,3.6
0.4,0.4,7.4
0.4,0.5,12.2
0.4,0.6,19.5
0.4,0.7,22.8
0.4,0.9,5.7
0.5,0.1,0.4
0.5,0.3,4.4
0.5,0.4,8.4
0.5,0.5,13.8
0.5,0.6,17.0
0.5,0.7,8.9
0.6,0.1,0.5
0.6,0.3,5.0
0.6,0.4,9.2
0.6,0.5,12.3
0.6,0.6,7.1
0.6,0.7,2.5
0.7,0.1,0.8
0.7,0.3,5.8
0.7,0.4,8.7
0.7,0.5,5.1
0.7,0.6,1.4
0.9,0.1,1.7
0.9,0.3,5.0
0.9,0.4,0.1
