solar,wind,SDES absolute dispatch
0.1,0.1,81536427.1
0.1,0.3,76286585.4
0.1,0.4,72920703.3
0.1,0.5,73650011.9
0.1,0.6,74153612.7
0.1,0.7,74539059.5
0.1,0.9,79015910.2
0.3,0.1,305858545.8
0.3,0.3,339778871.3
0.3,0.4,333738934.3
0.3,0.5,324510673.8
0.3,0.6,316767561.3
0.3,0.7,310616330.3
0.3,0.9,260664082.8
0.4,0.1,447155363.9
0.4,0.3,491614700.2
0.4,0.4,487035906.2
0.4,0.5,479418671.9
0.4,0.6,470403276.9
0.4,0.7,419608922.2
0.4,0.9,307094562.2
0.5,0.1,578129469.7
0.5,0.3,634075565.9
0.5,0.4,635149359.2
0.5,0.5,624930484.5
0.5,0.6,554863593.1
0.5,0.7,470304740.9
0.6,0.1,711357720.7
0.6,0.3,766739047.9
0.6,0.4,771142397.5
0.6,0.5,691860135.7
0.6,0.6,584748874.4
0.6,0.7,510856600.0
0.7,0.1,834490972.4
0.7,0.3,894340433.6
0.7,0.4,848872169.5
0.7,0.5,710319348.3
0.7,0.6,617785917.2
0.9,0.1,1063124423.7
0.9,0.3,1026023934.6
0.9,0.4,882480776.2
