solar,wind,SDES discharge cap
0.1,0.1,149.1
0.1,0.3,149.9
0.1,0.4,144.4
0.1,0.5,147.3
0.1,0.6,156.0
0.1,0.7,163.8
0.1,0.9,181.1
0.3,0.1,376.9
0.3,0.3,414.3
0.3,0.4,407.9
0.3,0.5,399.9
0.3,0.6,389.0
0.3,0.7,379.6
0.3,0.9,355.6
0.4,0.1,517.5
0.4,0.3,557.4
0.4,0.4,552.8
0.4,0.5,545.9
0.4,0.6,539.9
0.4,0.7,511.1
0.4,0.9,423.2
0.5,0.1,639.8
0.5,0.3,694.0
0.5,0.4,690.9
0.5,0.5,683.9
0.5,0.6,630.6
0.5,0.7,573.5
0.6,0.1,774.9
0.6,0.3,822.7
0.6,0.4,830.9
0.6,0.5,770.5
0.6,0.6,679.4
0.6,0.7,621.9
0.7,0.1,898.1
0.7,0.3,958.5
0.7,0.4,941.9
0.7,0.5,806.5
0.7,0.6,726.1
0.9,0.1,1151.7
0.9,0.3,1144.9
0.9,0.4,988.8
