solar,wind,VRE curt
0.1,0.1,0.0
0.1,0.3,0.4
0.1,0.4,0.8
0.1,0.5,1.5
0.1,0.6,2.8
0.1,0.7,4.9
0.1,0.9,11.4
0.3,0.1,2.2
0.3,0.3,1.7
0.3,0.4,1.9
0.3,0.5,2.2
0.3,0.6,3.4
0.3,0.7,5.7
0.3,0.9,20.2
0.4,0.1,4.6
0.4,0.3,3.1
0.4,0.4,3.2
0.4,0.5,3.7
0.4,0.6,4.8
0.4,0.7,10.1
0.4,0.9,33.8
0.5,0.1,7.2
0.5,0.3,5.1
0.5,0.4,5.1
0.5,0.5,5.9
0.5,0.6,11.2
0.5,0.7,22.7
0.6,0.1,10.1
0.6,0.3,7.9
0.6,0.4,8.1
0.6,0.5,12.1
0.6,0.6,22.9
0.6,0.7,34.5
0.7,0.1,13.3
0.7,0.3,11.4
0.7,0.4,13.7
0.7,0.5,23.3
0.7,0.6,34.8
0.9,0.1,21.4
0.9,0.3,23.7
0.9,0.4,35.0
