solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,38.9
0.1,0.4,47.8
0.1,0.5,56.2
0.1,0.6,63.9
0.1,0.7,70.7
0.1,0.9,81.8
0.3,0.1,37.8
0.3,0.3,57.5
0.3,0.4,65.9
0.3,0.5,74.0
0.3,0.6,80.8
0.3,0.7,86.6
0.3,0.9,92.5
0.4,0.1,45.4
0.4,0.3,65.9
0.4,0.4,74.3
0.4,0.5,81.9
0.4,0.6,88.2
0.4,0.7,91.8
0.4,0.9,93.8
0.5,0.1,52.8
0.5,0.3,73.6
0.5,0.4,82.0
0.5,0.5,88.7
0.5,0.6,92.4
0.5,0.7,93.4
0.6,0.1,59.9
0.6,0.3,80.5
0.6,0.4,88.6
0.6,0.5,92.7
0.6,0.6,93.9
0.6,0.7,94.4
0.7,0.1,66.7
0.7,0.3,86.7
0.7,0.4,92.9
0.7,0.5,94.3
0.7,0.6,94.7
0.9,0.1,78.4
0.9,0.3,94.1
0.9,0.4,95.0
