solar,wind,backup capacity
0.1,0.1,420.4
0.1,0.3,369.63
0.1,0.4,355.58
0.1,0.5,343.48
0.1,0.6,331.61
0.1,0.7,316.0
0.1,0.9,281.74
0.3,0.1,370.43
0.3,0.3,291.59
0.3,0.4,271.3
0.3,0.5,258.03
0.3,0.6,250.08
0.3,0.7,242.66
0.3,0.9,225.19
0.4,0.1,353.88
0.4,0.3,264.38
0.4,0.4,241.9
0.4,0.5,225.06
0.4,0.6,217.27
0.4,0.7,214.49
0.4,0.9,210.2
0.5,0.1,336.96
0.5,0.3,245.33
0.5,0.4,216.28
0.5,0.5,196.58
0.5,0.6,192.87
0.5,0.7,197.65
0.6,0.1,320.91
0.6,0.3,228.26
0.6,0.4,191.97
0.6,0.5,178.84
0.6,0.6,185.88
0.6,0.7,191.68
0.7,0.1,307.87
0.7,0.3,208.65
0.7,0.4,175.04
0.7,0.5,182.12
0.7,0.6,189.43
0.9,0.1,276.37
0.9,0.3,184.27
0.9,0.4,194.9
