solar,wind,backup capacity factor low
0.1,0.1,3.77
0.1,0.3,3.86
0.1,0.4,3.67
0.1,0.5,3.14
0.1,0.6,3.04
0.1,0.7,2.97
0.1,0.9,2.74
0.3,0.1,2.99
0.3,0.3,4.36
0.3,0.4,4.29
0.3,0.5,3.83
0.3,0.6,3.47
0.3,0.7,3.45
0.3,0.9,3.72
0.4,0.1,2.75
0.4,0.3,4.5
0.4,0.4,4.85
0.4,0.5,4.51
0.4,0.6,3.85
0.4,0.7,3.45
0.4,0.9,3.96
0.5,0.1,2.75
0.5,0.3,4.18
0.5,0.4,5.01
0.5,0.5,4.9
0.5,0.6,4.04
0.5,0.7,4.18
0.6,0.1,2.68
0.6,0.3,3.73
0.6,0.4,4.74
0.6,0.5,4.68
0.6,0.6,4.82
0.6,0.7,4.66
0.7,0.1,2.73
0.7,0.3,3.43
0.7,0.4,4.31
0.7,0.5,4.54
0.7,0.6,4.59
0.9,0.1,2.85
0.9,0.3,2.83
0.9,0.4,3.79
