solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,28.0
0.3,0.3,29.2
0.3,0.4,29.3
0.3,0.5,29.4
0.3,0.6,29.5
0.3,0.7,29.4
0.3,0.9,28.7
0.4,0.1,35.7
0.4,0.3,38.0
0.4,0.4,38.3
0.4,0.5,38.5
0.4,0.6,38.5
0.4,0.7,37.7
0.4,0.9,33.3
0.5,0.1,43.1
0.5,0.3,46.0
0.5,0.4,46.6
0.5,0.5,46.8
0.5,0.6,44.7
0.5,0.7,41.1
0.6,0.1,50.3
0.6,0.3,53.4
0.6,0.4,54.1
0.6,0.5,51.9
0.6,0.6,47.3
0.6,0.7,44.3
0.7,0.1,57.0
0.7,0.3,60.3
0.7,0.4,59.4
0.7,0.5,53.6
0.7,0.6,49.7
0.9,0.1,68.9
0.9,0.3,68.8
0.9,0.4,61.8
