solar,wind,solar theo share
0.1,0.1,10.0
0.1,0.3,9.8
0.1,0.4,9.7
0.1,0.5,9.6
0.1,0.6,9.5
0.1,0.7,9.4
0.1,0.9,9.2
0.3,0.1,30.0
0.3,0.3,29.6
0.3,0.4,29.0
0.3,0.5,28.5
0.3,0.6,28.0
0.3,0.7,27.5
0.3,0.9,27.8
0.4,0.1,40.0
0.4,0.3,39.4
0.4,0.4,38.7
0.4,0.5,38.0
0.4,0.6,37.1
0.4,0.7,36.8
0.4,0.9,39.0
0.5,0.1,50.0
0.5,0.3,49.2
0.5,0.4,48.3
0.5,0.5,47.2
0.5,0.6,46.8
0.5,0.7,48.0
0.6,0.1,60.0
0.6,0.3,58.9
0.6,0.4,57.8
0.6,0.5,56.9
0.6,0.6,58.1
0.6,0.7,59.3
0.7,0.1,70.0
0.7,0.3,68.5
0.7,0.4,67.5
0.7,0.5,68.2
0.7,0.6,69.6
0.9,0.1,89.9
0.9,0.3,88.0
0.9,0.4,90.0
