solar,wind,system cost
0.1,0.1,310.8
0.1,0.3,289.7
0.1,0.4,282.6
0.1,0.5,277.2
0.1,0.6,273.3
0.1,0.7,270.5
0.1,0.9,267.7
0.3,0.1,301.1
0.3,0.3,276.3
0.3,0.4,267.6
0.3,0.5,260.7
0.3,0.6,255.4
0.3,0.7,251.6
0.3,0.9,250.5
0.4,0.1,299.4
0.4,0.3,273.2
0.4,0.4,264.3
0.4,0.5,257.0
0.4,0.6,251.3
0.4,0.7,248.3
0.4,0.9,254.4
0.5,0.1,298.6
0.5,0.3,271.6
0.5,0.4,262.5
0.5,0.5,255.0
0.5,0.6,250.4
0.5,0.7,251.3
0.6,0.1,298.6
0.6,0.3,271.0
0.6,0.4,261.8
0.6,0.5,255.1
0.6,0.6,254.5
0.6,0.7,257.5
0.7,0.1,299.1
0.7,0.3,271.2
0.7,0.4,262.4
0.7,0.5,259.1
0.7,0.6,260.9
0.9,0.1,301.7
0.9,0.3,274.6
0.9,0.4,271.0
