solar,wind,wind capacity factor
0.1,0.1,23.3
0.1,0.3,24.2
0.1,0.4,24.7
0.1,0.5,24.6
0.1,0.6,24.2
0.1,0.7,23.7
0.1,0.9,22.7
0.3,0.1,21.7
0.3,0.3,24.4
0.3,0.4,24.2
0.3,0.5,24.6
0.3,0.6,24.0
0.3,0.7,23.5
0.3,0.9,21.3
0.4,0.1,21.8
0.4,0.3,23.4
0.4,0.4,24.2
0.4,0.5,24.2
0.4,0.6,23.6
0.4,0.7,22.1
0.4,0.9,19.2
0.5,0.1,21.8
0.5,0.3,22.3
0.5,0.4,23.7
0.5,0.5,23.5
0.5,0.6,22.1
0.5,0.7,20.7
0.6,0.1,21.6
0.6,0.3,23.2
0.6,0.4,22.3
0.6,0.5,22.1
0.6,0.6,20.7
0.6,0.7,19.9
0.7,0.1,22.6
0.7,0.3,22.7
0.7,0.4,21.8
0.7,0.5,20.8
0.7,0.6,19.8
0.9,0.1,22.3
0.9,0.3,21.4
0.9,0.4,19.7
