solar,wind,wind curt
0.1,0.1,0.3
0.1,0.3,1.2
0.1,0.4,2.0
0.1,0.5,3.0
0.1,0.6,4.6
0.1,0.7,6.9
0.1,0.9,12.6
0.3,0.1,2.3
0.3,0.3,2.9
0.3,0.4,3.1
0.3,0.5,3.2
0.3,0.6,4.8
0.3,0.7,7.3
0.3,0.9,21.0
0.4,0.1,2.7
0.4,0.3,3.5
0.4,0.4,3.7
0.4,0.5,4.3
0.4,0.6,5.6
0.4,0.7,11.1
0.4,0.9,30.0
0.5,0.1,3.1
0.5,0.3,3.9
0.5,0.4,4.2
0.5,0.5,5.4
0.5,0.6,9.8
0.5,0.7,19.8
0.6,0.1,3.4
0.6,0.3,4.4
0.6,0.4,5.6
0.6,0.5,8.1
0.6,0.6,17.0
0.6,0.7,26.7
0.7,0.1,3.0
0.7,0.3,5.4
0.7,0.4,7.7
0.7,0.5,13.8
0.7,0.6,24.1
0.9,0.1,3.7
0.9,0.3,8.5
0.9,0.4,17.1
