solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,29.1
0.1,0.4,38.1
0.1,0.5,46.6
0.1,0.6,54.4
0.1,0.7,61.3
0.1,0.9,72.6
0.3,0.1,9.8
0.3,0.3,28.7
0.3,0.4,37.5
0.3,0.5,46.0
0.3,0.6,53.3
0.3,0.7,59.6
0.3,0.9,65.9
0.4,0.1,9.7
0.4,0.3,28.5
0.4,0.4,37.3
0.4,0.5,45.4
0.4,0.6,52.5
0.4,0.7,57.2
0.4,0.9,61.4
0.5,0.1,9.7
0.5,0.3,28.3
0.5,0.4,37.0
0.5,0.5,44.6
0.5,0.6,50.6
0.5,0.7,53.9
0.6,0.1,9.7
0.6,0.3,28.1
0.6,0.4,36.4
0.6,0.5,43.5
0.6,0.6,48.2
0.6,0.7,50.7
0.7,0.1,9.7
0.7,0.3,27.8
0.7,0.4,35.6
0.7,0.5,42.0
0.7,0.6,45.3
0.9,0.1,9.6
0.9,0.3,26.8
0.9,0.4,33.2
