solar,wind,wind theo share
0.1,0.1,10.0
0.1,0.3,29.5
0.1,0.4,38.9
0.1,0.5,48.1
0.1,0.6,57.0
0.1,0.7,65.8
0.1,0.9,83.1
0.3,0.1,10.0
0.3,0.3,29.6
0.3,0.4,38.7
0.3,0.5,47.6
0.3,0.6,56.0
0.3,0.7,64.2
0.3,0.9,83.4
0.4,0.1,10.0
0.4,0.3,29.5
0.4,0.4,38.7
0.4,0.5,47.5
0.4,0.6,55.6
0.4,0.7,64.4
0.4,0.9,87.7
0.5,0.1,10.0
0.5,0.3,29.5
0.5,0.4,38.7
0.5,0.5,47.2
0.5,0.6,56.1
0.5,0.7,67.2
0.6,0.1,10.0
0.6,0.3,29.4
0.6,0.4,38.5
0.6,0.5,47.4
0.6,0.6,58.1
0.6,0.7,69.2
0.7,0.1,10.0
0.7,0.3,29.3
0.7,0.4,38.6
0.7,0.5,48.7
0.7,0.6,59.7
0.9,0.1,10.0
0.9,0.3,29.3
0.9,0.4,40.0
