solar,wind,DK wind cap
0.1,0.1,14.6
0.1,0.3,36.0
0.1,0.4,59.8
0.1,0.5,73.4
0.1,0.6,73.4
0.1,0.7,73.4
0.1,0.9,73.4
0.3,0.1,13.5
0.3,0.3,39.2
0.3,0.4,60.8
0.3,0.5,73.4
0.3,0.6,73.4
0.3,0.7,73.4
0.3,0.9,73.4
0.4,0.1,13.0
0.4,0.3,43.7
0.4,0.4,65.3
0.4,0.5,73.4
0.4,0.6,73.4
0.4,0.7,73.4
0.4,0.9,73.4
0.5,0.1,11.8
0.5,0.3,44.1
0.5,0.4,65.1
0.5,0.5,73.4
0.5,0.6,73.4
0.5,0.7,73.4
0.6,0.1,12.6
0.6,0.3,48.1
0.6,0.4,62.7
0.6,0.5,73.4
0.6,0.6,73.4
0.6,0.7,73.4
0.7,0.1,13.0
0.7,0.3,47.5
0.7,0.4,65.7
0.7,0.5,73.4
0.7,0.6,73.4
0.9,0.1,13.2
0.9,0.3,59.2
0.9,0.4,73.4
