solar,wind,ES solar cap
0.1,0.1,88.5
0.1,0.3,75.4
0.1,0.4,70.0
0.1,0.5,69.4
0.1,0.6,62.2
0.1,0.7,51.6
0.1,0.9,42.0
0.3,0.1,361.6
0.3,0.3,318.2
0.3,0.4,291.8
0.3,0.5,281.6
0.3,0.6,253.2
0.3,0.7,229.5
0.3,0.9,164.6
0.4,0.1,524.7
0.4,0.3,466.7
0.4,0.4,442.9
0.4,0.5,413.1
0.4,0.6,384.7
0.4,0.7,365.3
0.4,0.9,300.7
0.5,0.1,662.7
0.5,0.3,619.2
0.5,0.4,580.5
0.5,0.5,565.1
0.5,0.6,538.0
0.5,0.7,477.2
0.6,0.1,814.3
0.6,0.3,759.5
0.6,0.4,749.9
0.6,0.5,717.5
0.6,0.6,631.8
0.6,0.7,591.2
0.7,0.1,961.4
0.7,0.3,930.0
0.7,0.4,897.4
0.7,0.5,815.3
0.7,0.6,741.2
0.9,0.1,1131.5
0.9,0.3,1131.5
0.9,0.4,1122.2
