solar,wind,VRE curt
0.1,0.1,0.0
0.1,0.3,0.8
0.1,0.4,1.7
0.1,0.5,3.1
0.1,0.6,5.2
0.1,0.7,8.6
0.1,0.9,18.3
0.3,0.1,2.2
0.3,0.3,1.9
0.3,0.4,3.1
0.3,0.5,5.1
0.3,0.6,8.3
0.3,0.7,13.1
0.3,0.9,26.8
0.4,0.1,4.5
0.4,0.3,3.7
0.4,0.4,4.6
0.4,0.5,7.2
0.4,0.6,11.7
0.4,0.7,17.7
0.4,0.9,35.8
0.5,0.1,7.3
0.5,0.3,6.0
0.5,0.4,7.1
0.5,0.5,10.9
0.5,0.6,16.9
0.5,0.7,25.7
0.6,0.1,10.1
0.6,0.3,9.1
0.6,0.4,11.2
0.6,0.5,16.6
0.6,0.6,25.5
0.6,0.7,35.5
0.7,0.1,13.4
0.7,0.3,13.1
0.7,0.4,17.1
0.7,0.5,25.3
0.7,0.6,35.3
0.9,0.1,21.6
0.9,0.3,25.7
0.9,0.4,35.1
