solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,39.2
0.1,0.4,48.3
0.1,0.5,56.9
0.1,0.6,64.8
0.1,0.7,71.4
0.1,0.9,81.7
0.3,0.1,37.8
0.3,0.3,58.1
0.3,0.4,66.9
0.3,0.5,74.9
0.3,0.6,81.7
0.3,0.7,86.9
0.3,0.9,93.3
0.4,0.1,45.4
0.4,0.3,66.3
0.4,0.4,75.4
0.4,0.5,82.8
0.4,0.6,88.3
0.4,0.7,92.2
0.4,0.9,94.3
0.5,0.1,52.8
0.5,0.3,74.0
0.5,0.4,82.9
0.5,0.5,89.1
0.5,0.6,93.1
0.5,0.7,94.3
0.6,0.1,59.8
0.6,0.3,80.9
0.6,0.4,88.7
0.6,0.5,93.4
0.6,0.6,94.5
0.6,0.7,94.5
0.7,0.1,66.7
0.7,0.3,86.9
0.7,0.4,92.9
0.7,0.5,94.7
0.7,0.6,94.7
0.9,0.1,78.4
0.9,0.3,94.3
0.9,0.4,95.0
