solar,wind,backup capacity factor high
0.1,0.1,94.54
0.1,0.3,90.57
0.1,0.4,86.37
0.1,0.5,81.18
0.1,0.6,75.62
0.1,0.7,70.68
0.1,0.9,61.64
0.3,0.1,89.23
0.3,0.3,84.9
0.3,0.4,78.95
0.3,0.5,71.5
0.3,0.6,62.98
0.3,0.7,55.7
0.3,0.9,44.22
0.4,0.1,87.09
0.4,0.3,81.58
0.4,0.4,73.46
0.4,0.5,64.15
0.4,0.6,54.95
0.4,0.7,49.18
0.4,0.9,22.26
0.5,0.1,84.23
0.5,0.3,76.43
0.5,0.4,65.72
0.5,0.5,55.72
0.5,0.6,48.65
0.5,0.7,21.98
0.6,0.1,80.86
0.6,0.3,68.93
0.6,0.4,56.6
0.6,0.5,48.85
0.6,0.6,22.67
0.6,0.7,23.77
0.7,0.1,76.33
0.7,0.3,60.36
0.7,0.4,48.78
0.7,0.5,22.56
0.7,0.6,24.25
0.9,0.1,67.06
0.9,0.3,45.47
0.9,0.4,22.64
