solar,wind,backup capacity factor low
0.1,0.1,3.77
0.1,0.3,3.82
0.1,0.4,3.55
0.1,0.5,3.0
0.1,0.6,2.93
0.1,0.7,2.65
0.1,0.9,2.89
0.3,0.1,3.01
0.3,0.3,4.45
0.3,0.4,4.09
0.3,0.5,3.9
0.3,0.6,3.46
0.3,0.7,3.14
0.3,0.9,2.86
0.4,0.1,2.76
0.4,0.3,4.58
0.4,0.4,4.67
0.4,0.5,4.43
0.4,0.6,3.93
0.4,0.7,3.55
0.4,0.9,3.7
0.5,0.1,2.75
0.5,0.3,4.24
0.5,0.4,4.77
0.5,0.5,4.63
0.5,0.6,4.26
0.5,0.7,3.82
0.6,0.1,2.73
0.6,0.3,3.85
0.6,0.4,4.71
0.6,0.5,4.53
0.6,0.6,4.46
0.6,0.7,4.4
0.7,0.1,2.69
0.7,0.3,3.44
0.7,0.4,4.48
0.7,0.5,4.38
0.7,0.6,4.47
0.9,0.1,2.96
0.9,0.3,2.67
0.9,0.4,3.77
