solar,wind,solar absolute curt
0.1,0.1,76361.1
0.1,0.3,4387.1
0.1,0.4,4378.5
0.1,0.5,7761.2
0.1,0.6,81082.3
0.1,0.7,151316.3
0.1,0.9,476168.4
0.3,0.1,64143861.2
0.3,0.3,23718951.2
0.3,0.4,25373089.4
0.3,0.5,29065636.8
0.3,0.6,33860293.0
0.3,0.7,46758261.5
0.3,0.9,84672526.2
0.4,0.1,137493539.7
0.4,0.3,70900690.0
0.4,0.4,62997970.5
0.4,0.5,77041662.1
0.4,0.6,99089100.4
0.4,0.7,131065291.0
0.4,0.9,223219999.6
0.5,0.1,223119787.2
0.5,0.3,141189180.6
0.5,0.4,132808180.6
0.5,0.5,167522540.1
0.5,0.6,230554090.8
0.5,0.7,293288431.0
0.6,0.1,313873919.7
0.6,0.3,235227143.1
0.6,0.4,239793446.8
0.6,0.5,313782036.9
0.6,0.6,408862381.7
0.6,0.7,504670041.1
0.7,0.1,419180070.3
0.7,0.3,348952950.3
0.7,0.4,398904221.9
0.7,0.5,539904293.7
0.7,0.6,658077080.3
0.9,0.1,679538838.4
0.9,0.3,720300216.5
0.9,0.4,911038214.9
