solar,wind,solar cap
0.1,0.1,234.9
0.1,0.3,243.4
0.1,0.4,246.6
0.1,0.5,247.3
0.1,0.6,250.8
0.1,0.7,255.2
0.1,0.9,256.0
0.3,0.1,689.1
0.3,0.3,704.4
0.3,0.4,713.2
0.3,0.5,718.3
0.3,0.6,731.3
0.3,0.7,742.3
0.3,0.9,768.0
0.4,0.1,909.1
0.4,0.3,931.7
0.4,0.4,939.3
0.4,0.5,954.0
0.4,0.6,967.3
0.4,0.7,973.3
0.4,0.9,989.5
0.5,0.1,1143.5
0.5,0.3,1157.8
0.5,0.4,1168.3
0.5,0.5,1179.4
0.5,0.6,1192.3
0.5,0.7,1211.2
0.6,0.1,1367.8
0.6,0.3,1384.6
0.6,0.4,1388.6
0.6,0.5,1403.0
0.6,0.6,1427.4
0.6,0.7,1436.9
0.7,0.1,1598.9
0.7,0.3,1601.1
0.7,0.4,1612.9
0.7,0.5,1640.9
0.7,0.6,1652.0
0.9,0.1,2067.7
0.9,0.3,2055.6
0.9,0.4,2073.6
