solar,wind,solar curt
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.1
0.3,0.1,6.7
0.3,0.3,2.5
0.3,0.4,2.6
0.3,0.5,3.0
0.3,0.6,3.5
0.3,0.7,4.8
0.3,0.9,8.8
0.4,0.1,10.7
0.4,0.3,5.5
0.4,0.4,4.9
0.4,0.5,6.0
0.4,0.6,7.7
0.4,0.7,10.2
0.4,0.9,17.4
0.5,0.1,13.9
0.5,0.3,8.8
0.5,0.4,8.3
0.5,0.5,10.4
0.5,0.6,14.3
0.5,0.7,18.2
0.6,0.1,16.3
0.6,0.3,12.2
0.6,0.4,12.4
0.6,0.5,16.3
0.6,0.6,21.2
0.6,0.7,26.2
0.7,0.1,18.6
0.7,0.3,15.5
0.7,0.4,17.7
0.7,0.5,24.0
0.7,0.6,29.2
0.9,0.1,23.5
0.9,0.3,24.9
0.9,0.4,31.5
