solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,28.0
0.3,0.3,29.3
0.3,0.4,29.2
0.3,0.5,29.1
0.3,0.6,28.9
0.3,0.7,28.5
0.3,0.9,27.4
0.4,0.1,35.7
0.4,0.3,37.8
0.4,0.4,38.0
0.4,0.5,37.6
0.4,0.6,36.9
0.4,0.7,35.9
0.4,0.9,33.1
0.5,0.1,43.1
0.5,0.3,45.6
0.5,0.4,45.9
0.5,0.5,44.8
0.5,0.6,42.8
0.5,0.7,40.9
0.6,0.1,50.2
0.6,0.3,52.7
0.6,0.4,52.5
0.6,0.5,50.2
0.6,0.6,47.3
0.6,0.7,44.3
0.7,0.1,57.0
0.7,0.3,59.1
0.7,0.4,57.6
0.7,0.5,53.2
0.7,0.6,49.5
0.9,0.1,68.9
0.9,0.3,67.6
0.9,0.4,61.7
