solar,wind,system cost
0.1,0.1,310.7
0.1,0.3,290.1
0.1,0.4,283.6
0.1,0.5,278.7
0.1,0.6,275.4
0.1,0.7,273.3
0.1,0.9,272.3
0.3,0.1,301.2
0.3,0.3,276.6
0.3,0.4,268.7
0.3,0.5,262.6
0.3,0.6,258.5
0.3,0.7,255.9
0.3,0.9,254.9
0.4,0.1,299.6
0.4,0.3,273.5
0.4,0.4,265.3
0.4,0.5,259.0
0.4,0.6,254.7
0.4,0.7,252.3
0.4,0.9,255.0
0.5,0.1,298.7
0.5,0.3,272.0
0.5,0.4,263.5
0.5,0.5,257.3
0.5,0.6,253.2
0.5,0.7,252.3
0.6,0.1,298.8
0.6,0.3,271.4
0.6,0.4,263.0
0.6,0.5,257.1
0.6,0.6,255.1
0.6,0.7,257.6
0.7,0.1,299.3
0.7,0.3,271.7
0.7,0.4,263.6
0.7,0.5,259.6
0.7,0.6,261.0
0.9,0.1,302.1
0.9,0.3,275.1
0.9,0.4,271.1
